"ResponseId","PROLIFIC_PID","participant_party","learner_party","political_extremism","block","condition","env1_own","env2_own","env3_own","env4_own","env5_own","env6_own","env1_ingroup","env2_ingroup","env3_ingroup","env4_ingroup","env5_ingroup","env6_ingroup","env1_outgroup_pre","env2_outgroup_pre","env3_outgroup_pre","env4_outgroup_pre","env5_outgroup_pre","env6_outgroup_pre","env1_outgroup_post","env2_outgroup_post","env3_outgroup_post","env4_outgroup_post","env5_outgroup_post","env6_outgroup_post","green_own","green_ingroup","green_outgroup_pre","green_outgroup_post","accuracy_pre","accuracy_post","actual_green","warmth_outgroup_pre","warmth_ingroup_pre","warmth_outgroup_post","warmth_ingroup_post","warmth_diff_pre","warmth_diff_post","confidence_ingroup","confidence_outgroup_pre","confidence_outgroup_post","donation","age","gender","race_1","race_2","race_6","race_3","race_4","race_7","race_5","tab_switch_count","time_hidden_ms","tab_switch_count_bot","time_hidden_ms_bot","duration_sec","talk_partner","comments"
"R_1fxJsHrJjLcPZCV","695fa276f0ff6947c14771b8","Democrat","D→R",90,"rep_first","twin_republican",4,4,5,5,5,5,4,4,4,5,4,4,3,2,2,2,2,2,4,4,5,4,4,4,4.66666666666667,4.16666666666667,2.16666666666667,4.16666666666667,-1.60884353741497,-0.391156462585034,3.77551020408163,19,86,50,88,-67,-38,4,4,4,0,36,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,540793,859,"I'd rather talk with a republican",NA
"R_3ifxtEJdBp0vstS","5e9e19d808b9931ef37373c6","Democrat","D→R",18,"dem_first","twin_republican",3,3,3,4,3,3,3,5,3,4,3,4,3,1,3,2,3,2,3,2,1,2,2,2,3.16666666666667,3.66666666666667,2.33333333333333,2,-1.4421768707483,-1.77551020408163,3.77551020408163,49,49,52,49,0,3,2,2,1,0,31,"Male",NA,NA,NA,NA,"Asian",NA,NA,0,0,1,598210,818,"I'd rather talk with a republican","None at this time"
"R_65TmscMvnmqpXu9","698c0284abbbcb9d9ac2d5dc","Democrat","D→R",73,"dem_first","twin_republican",4,4,4,4,3,4,5,4,4,5,4,4,1,4,2,1,4,2,2,4,3,3,2,2,3.83333333333333,4.33333333333333,2.33333333333333,2.66666666666667,-1.4421768707483,-1.10884353741497,3.77551020408163,35,73,44,71,-38,-27,3,3,3,50,25,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,598050,859,"I'd rather talk with a republican","This was a cool study! Thank you!"
"R_1KVNmjmo6yguEo0","5f4a4da1575d605c43bef871","Republican","R→D",100,"rep_first","twin_democrat",5,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.16666666666667,4,4,5,-0.00333333333333341,-1.00333333333333,3.99666666666667,33,76,83,72,-43,11,2,2,4,0,67,"Female","White",NA,NA,NA,NA,NA,NA,0,0,5,46461,786,"I'd rather talk with a republican",NA
"R_7IS33dZyMFmLFtv","67ca0d493f0094aaecca945e","Republican","R→D",100,"rep_first","twin_democrat",4,1,1,2,5,1,4,1,2,2,4,1,1,1,1,4,1,1,4,4,4,5,5,4,2.33333333333333,2.33333333333333,1.5,4.33333333333333,-2.49666666666667,-0.336666666666666,3.99666666666667,80,80,80,80,0,0,2,2,2,0,64,"Female",NA,NA,NA,NA,NA,NA,"Other",0,0,1,598109,801,"I'd rather talk with a democrat","Just because I didn't donate to a person does not mean I am not generous. I don't know what her health concerns are nor do I know her. My generosity goes toward those I feel called to help. We give over 20% of our income to charity and we prefer to help those we can vet."
"R_5ztqiG1gHvKEWOd","65e465d6d4ed60a18ce3a89b","Democrat","D→R",53,"dem_first","twin_republican",3,4,4,3,3,4,4,2,4,4,2,3,2,4,3,2,4,4,4,3,4,2,3,4,3.5,3.16666666666667,3.16666666666667,3.33333333333333,-0.608843537414966,-0.442176870748299,3.77551020408163,55,69,20,60,-14,-40,4,4,3,0,52,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,582868,969,"I'd rather talk with a democrat",NA
"R_7CRTVnpAORlAhGh","5e9f3f09ccc75a0c345e4845","Democrat","D→R",91,"rep_first","twin_republican",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.224489795918367,-0.224489795918367,3.77551020408163,3,89,3,87,-86,-84,3,3,3,50,66,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,439139,733,"I'd rather talk with a democrat",NA
"R_3d6z6zShhkFMbEg","6941acf0f53b50ab7a0b1c9f","Democrat","D→R",78,"rep_first","twin_republican",5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4.83333333333333,4,2,2,-1.77551020408163,-1.77551020408163,3.77551020408163,44,66,43,68,-22,-25,4,4,4,10,48,"Male","White",NA,NA,NA,NA,NA,NA,0,0,3,58151,825,"I'd rather talk with a republican","Thank you!"
"R_12gzFnYrjefNqRT","69903e19de9ba23a4c02d8ca","Republican","R→D",86,"dem_first","twin_democrat",5,4,2,1,5,5,5,4,2,1,5,4,5,4,3,1,4,4,5,4,3,4,4,4,3.66666666666667,3.5,3.5,4,-0.496666666666667,-0.00333333333333341,3.99666666666667,49,77,66,84,-28,-18,4,3,4,50,44,"Male","White",NA,NA,NA,NA,NA,NA,0,0,10,422433,1296,"I'd rather talk with a republican",NA
"R_3R9xoKTIPefaagg","6938b3a102d6dfae6c72a140","Republican","R→D",73,"dem_first","twin_democrat",5,5,4,1,5,5,4,5,5,1,5,5,4,5,4,4,5,4,4,5,5,5,5,5,4.16666666666667,4.16666666666667,4.33333333333333,4.83333333333333,-0.336666666666666,-0.836666666666666,3.99666666666667,72,88,78,91,-16,-13,3,3,3,27,22,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,591090,980,"I'd rather talk with a democrat",NA
"R_3aYBh0rSlhHwP85","6662149979f662803eff17de","Republican","R→D",60,"rep_first","twin_democrat",5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,3,4,5,-0.00333333333333341,-1.00333333333333,3.99666666666667,50,50,50,50,0,0,3,3,4,0,37,"Male","White",NA,NA,NA,NA,NA,NA,0,0,5,95481,1181,"I'd rather talk with a democrat",NA
"R_7s5HoDbj2fKQY0B","66293da691cec8862619b1dc","Democrat","D→R",86,"rep_first","twin_republican",3,2,2,4,2,2,2,2,3,4,3,3,1,1,1,2,1,1,2,2,2,2,1,2,2.5,2.83333333333333,1.16666666666667,1.83333333333333,-2.60884353741497,-1.9421768707483,3.77551020408163,10,85,8,80,-75,-72,3,3,3,0,47,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,495189,784,"I'd rather talk with a republican",NA
"R_6OIHlSYkI5LPwTK","5c4af67cdccaa800016b3192","Democrat","D→R",80,"dem_first","twin_republican",4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,4,3,4,5,4,3,4,4,3.16666666666667,3.83333333333333,-0.608843537414966,-0.0578231292517009,3.77551020408163,10,80,10,80,-70,-70,3,2,3,0,43,"Male","White","Black or African American",NA,NA,NA,NA,NA,0,0,1,598354,739,"I'd rather talk with a democrat",NA
"R_6iCpMIfC1AjRIqW","67e04fb6a0a0f7c68d0cb905","Republican","R→D",67,"dem_first","twin_democrat",5,4,4,5,5,5,3,4,2,4,4,4,4,4,4,4,4,3,5,5,4,4,4,5,4.66666666666667,3.5,3.83333333333333,4.5,-0.163333333333333,-0.503333333333333,3.99666666666667,54,84,58,88,-30,-30,3,2,3,30,43,"Female","White",NA,NA,NA,NA,NA,NA,2,3708,1,594702,1186,"I'd rather talk with a republican","NA"
"R_5aYVNetknwAkfAZ","6838b21420f8652e717601ab","Republican","R→D",80,"dem_first","twin_democrat",5,4,5,3,5,5,4,4,4,3,4,4,3,3,3,3,4,4,2,4,3,4,3,3,4.5,3.83333333333333,3.33333333333333,3.16666666666667,-0.663333333333333,-0.83,3.99666666666667,38,75,31,77,-37,-46,3,3,3,0,24,"Female",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,594016,857,"I'd rather talk with a republican",NA
"R_6BVl8ZtdPeQxY6M","6621a2f38453311275d17d65","Republican","R→D",60,"rep_first","twin_democrat",5,5,5,4,4,2,2,2,4,4,2,1,5,4,5,5,5,4,5,5,5,5,4,4,4.16666666666667,2.5,4.66666666666667,4.66666666666667,-0.67,-0.67,3.99666666666667,35,60,45,60,-25,-15,1,2,3,35,24,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,578294,887,"I'd rather talk with a republican",NA
"R_3OVJkWuYPnxVkpF","59e7a66e62637600014a7d69","Democrat","D→R",100,"rep_first","twin_republican",5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,2,2,2,2,5,5,1,2,-2.77551020408163,-1.77551020408163,3.77551020408163,1,100,1,100,-99,-99,4,4,4,0,64,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,595622,763,"I'd rather talk with a democrat",NA
"R_62qgwHWd1V8LURP","698b9c8a556b36c360dd01bd","Democrat","D→R",80,"dem_first","twin_republican",4,5,4,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,4,2,2,3,3,2,4.5,5,1,2.66666666666667,-2.77551020408163,-1.10884353741497,3.77551020408163,25,90,25,96,-65,-71,4,3,4,25,32,"Male","White",NA,NA,NA,NA,NA,NA,0,0,4,110534,1016,"I'd rather talk with a democrat",NA
"R_3P0szeUN0JQXOfm","59347d4f53490b0001563e47","Republican","R→D",73,"rep_first","twin_democrat",3,3,1,5,2,1,3,3,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,2.5,3.5,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,56,91,50,79,-35,-29,4,5,5,25,36,"Male","White","Black or African American","American Indian or Alaska Native",NA,NA,NA,NA,0,0,2,535208,1922,"I'd rather talk with a democrat",NA
"R_3QYKO0un4iYNmco","67ca44c542a5ebd3baf7d5e1","Republican","R→D",80,"rep_first","twin_democrat",5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4.16666666666667,4.16666666666667,5,-0.17,-1.00333333333333,3.99666666666667,80,100,90,100,-20,-10,3,3,4,50,29,"Female",NA,NA,NA,NA,NA,NA,"Other",0,0,1,593241,1649,"I'd rather talk with a democrat",NA
"R_5oAID4ei8Z5aMXD","6941dcdd60e47496c3097b02","Republican","R→D",100,"rep_first","twin_democrat",5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,100,100,100,100,0,0,4,4,4,0,49,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597105,943,"I'd rather talk with a democrat","Thanks for the opportunity!  I think I convinced your chatbot that climate change is not an existential threat to humanity!"
"R_54D9Mv9MGMkcQL4","66be3ed60ce8896e4feb1003","Democrat","D→R",92,"dem_first","twin_republican",5,5,5,5,5,5,4,4,4,4,4,4,1,1,1,1,1,1,4,2,2,2,2,1,5,4,1,2.16666666666667,-2.77551020408163,-1.60884353741497,3.77551020408163,1,70,1,89,-69,-88,3,4,4,0,51,"Female","White",NA,NA,NA,NA,NA,NA,1,1740,4,353496,2715,"I'd rather talk with a democrat",NA
"R_1EGeDdMvnJnZzLd","5e1c138a2bf9514062e4de6b","Democrat","D→R",15,"rep_first","twin_republican",5,4,2,5,4,1,5,4,3,5,4,3,1,1,1,1,3,1,2,2,2,1,3,2,3.5,4,1.33333333333333,2,-2.4421768707483,-1.77551020408163,3.77551020408163,0,30,0,30,-30,-30,2,3,1,0,40,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597606,823,"I'd rather talk with a democrat",NA
"R_63kHzeHwlHUmGuA","694155c781b1b22947a860c5","Republican","R→D",15,"rep_first","twin_democrat",2,2,2,4,2,2,2,2,2,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,2.33333333333333,2.33333333333333,3.66666666666667,4,-0.33,-0.00333333333333341,3.99666666666667,50,50,50,50,0,0,2,2,2,0,20,"Male",NA,NA,NA,NA,"Asian",NA,NA,0,0,2,584528,855,"I'd rather talk with a republican",NA
"R_3M0AI8urrVMWY58","698d1f2a685237b2a6992f3b","Democrat","D→R",66,"rep_first","twin_republican",5,5,5,5,4,5,3,2,3,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4.83333333333333,2.83333333333333,1,1,-2.77551020408163,-2.77551020408163,3.77551020408163,0,50,0,51,-50,-51,2,4,3,0,35,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597623,994,"I'd rather talk with a republican",NA
